tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
10912,2,10912,Rotavirus,"",viruses,false,16354166666.666666,100,100,817857.1428571428,8244,11,8201,98.8301,1993.66,10^-302.635,,,,,100,817658.7301587302,8242,11,8201,98.3991,645.007,10^-298.518,,,,,"[28875, 1906931]",1
28875,1,10912,Rotavirus A,"",viruses,false,16354166666.666666,100,100,817857.1428571428,8244,11,8201,98.8301,1993.66,10^-302.635,,,,,100,817559.5238095238,8241,11,8201,98.4005,645.08,10^-298.553,,,,,,1
1906931,1,10912,Human rotavirus,"",viruses,false,992063.4920634921,100,,,,,,,,,,,,,100,99.2063492063492,1,,,86.4,44.0,10^-16.2815,,,,,,0
1678,2,1678,Bifidobacterium,"",bacteria,false,13888888.888888888,100,100,595.2380952380952,6,,,99.718,166.333,10^-91.8569,,,,,100,992.063492063492,10,1,6,87.0026,62.2,10^-31.5019,,,,,"[216816, 1680]",0
216816,1,1678,Bifidobacterium longum,"",bacteria,false,13888888.888888888,100,100,595.2380952380952,6,,,99.718,166.333,10^-91.8569,,,,,100,793.6507936507936,8,1,6,84.6152,70.5,10^-34.4604,,,,,,0
1680,1,1678,Bifidobacterium adolescentis,"",bacteria,false,1984126.9841269841,100,,,,,,,,,,,,,100,198.4126984126984,2,,,96.552,29.0,10^-19.6676,,,,,,0
57499,2,57499,Kytococcus,"",bacteria,false,7936507.936507936,100,100,892.8571428571429,9,,,93.3718,169.222,10^-78.157,,,,,100,198.4126984126984,2,,,93.1,29.0,10^-7.33255,,,,,"[1276, 1908485]",0
1276,1,57499,Kytococcus sedentarius,"",bacteria,false,7936507.936507936,100,100,595.2380952380952,6,,,91.8942,131.333,10^-62.4551,,,,,100,198.4126984126984,2,,,93.1,29.0,10^-7.33255,,,,,,0
1908485,1,57499,Kytococcus sp. KSUM_54,"",bacteria,false,2976190.4761904757,100,100,297.6190476190476,3,,,96.327,245.0,10^-109.561,,,,,,,,,,,,,,,,,,0
434,2,434,Acetobacter,"",bacteria,false,5952380.952380952,100,100,793.6507936507936,8,,,90.5667,142.75,10^-39.6357,,,,,100,694.4444444444445,7,,,95.6,37.1429,10^-15.6399,,,,,"[146474, 446692, 146475]",0
146474,1,434,Acetobacter orientalis,"",bacteria,false,5952380.952380952,100,100,198.4126984126984,2,,,94.792,96.0,10^-46.1093,,,,,100,396.8253968253968,4,,,95.15,39.0,10^-18.4094,,,,,,0
446692,1,434,Acetobacter senegalensis,"",bacteria,false,5952380.9523809515,100,100,595.2380952380952,6,,,89.1583,158.333,10^-37.4778,,,,,,,,,,,,,,,,,,0
146475,1,434,Acetobacter cibinongensis,"",bacteria,false,2976190.4761904757,100,,,,,,,,,,,,,100,297.6190476190476,3,,,96.2,34.6667,10^-11.9472,,,,,,0
46255,2,46255,Weissella,"",bacteria,false,4960317.46031746,100,100,496.031746031746,5,,,99.315,146.0,10^-85.726,,,,,1.2247410133511283,198.4126984126984,2,,,100.0,48.0,10^-25.216,327.869,733.137,0.000813008,0.00181794,"[1249, 46256]",0
1249,1,46255,Weissella paramesenteroides,"",bacteria,false,4960317.46031746,100,100,496.031746031746,5,,,99.315,146.0,10^-85.726,,,,,,,,,,,,,,,,,,0
46256,1,46255,Weissella hellenica,"",bacteria,false,24300.416931570006,100,,,,,,,,,,,,,100,198.4126984126984,2,,,100.0,48.0,10^-25.216,,,,,,0
2767885,2,2767885,Latilactobacillus,"",bacteria,false,3969196.635725033,100,1.0157455299521885,694.4444444444445,7,,,98.6477,128.286,10^-72.8539,1311.48,2932.55,0.00325203,0.00727177,100,396.8253968253968,4,,,98.425,47.75,10^-22.7504,,,,,"[28038, 1599]",0
28038,1,2767885,Latilactobacillus curvatus,"",bacteria,false,3969196.635725033,100,1.5591319919105473,595.2380952380952,6,,,98.5365,125.333,10^-70.7085,819.672,1832.84,0.00203252,0.00454485,100,396.8253968253968,4,,,98.425,47.75,10^-22.7504,,,,,,0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,11.095120589890882,0.11010515158394485,0.11010515158394485,99.2063492063492,1,,,99.315,146.0,10^-85.726,491.803,1099.71,0.00121951,0.00272691,,,,,,,,,,,,,,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,3968253.9682539683,100,100,396.8253968253968,4,,,99.1438,146.0,10^-85.3829,,,,,,,,,,,,,,,,,[1590],0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,3968253.9682539683,100,100,396.8253968253968,4,,,99.1438,146.0,10^-85.3829,,,,,,,,,,,,,,,,,,0
28263,2,28263,Arcanobacterium,"",bacteria,false,3968253.9682539683,100,,,,,,,,,,,,,100,396.8253968253968,4,,,67.7605,51.75,10^-15.0651,,,,,[131112],0
131112,1,28263,Arcanobacterium phocae,"",bacteria,false,3968253.9682539683,100,,,,,,,,,,,,,100,396.8253968253968,4,,,67.7605,51.75,10^-15.0651,,,,,,0
69965,2,69965,Macrococcus,"",bacteria,false,2976190.4761904757,100,100,297.6190476190476,3,,,92.727,220.0,10^-82.9431,,,,,,,,,,,,,,,,,[1855823],0
1855823,1,69965,Macrococcus canis,"",bacteria,false,2976190.4761904757,100,100,297.6190476190476,3,,,92.727,220.0,10^-82.9431,,,,,,,,,,,,,,,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,2898716.2379731014,26.56278152615351,0.3490721437143019,1190.4761904761904,12,1,6,94.4127,299.667,10^-193.034,2377.62,4164.0,0.0105236,0.0220971,26.56278152615351,5555.555555555556,56,6,42,87.9234,77.6852,10^-41.4449,1400.89,2055.2,0.00226663,0.00311864,"[1311, 102684, 1917441, 1306, 1328, 1313, 1336, 1308, 712623, 684066, 83427, 1343]",4
1311,1,1301,Streptococcus agalactiae,"",bacteria,false,2898716.2379731014,100,,,,,,,,,,,,,100,1091.2698412698412,11,2,11,96.3047,68.0,10^-43.0824,,,,,,1
102684,1,1301,Streptococcus infantarius,"",bacteria,false,1581117.947985328,100,,,,,,,,,,,,,100,595.2380952380952,6,1,6,73.034,89.0,10^-39.5214,,,,,,0
1917441,1,1301,Streptococcus ruminantium,"",bacteria,false,1054078.6319902188,100,,,,,,,,,,,,,100,396.8253968253968,4,,,84.3,47.75,10^-20.4373,,,,,,0
1306,1,1301,Streptococcus sp.,"",bacteria,false,790558.973992664,100,,,,,,,,,,,,,100,297.6190476190476,3,,,100.0,42.0,10^-16.8071,,,,,,0
1328,1,1301,Streptococcus anginosus,"",bacteria,false,428807.54492985026,16.272317146595164,,,,,,,,,,,,,16.272317146595164,992.063492063492,10,1,10,93.827,162.0,10^-97.0348,163.934,366.569,0.000406504,0.000908971,,1
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,400959.4968926989,13.832312788680063,,,,,,,,,,,,,13.832312788680063,1091.2698412698412,11,1,6,89.8605,54.1818,10^-27.4155,454.545,1016.39,0.00052356,0.00117072,,1
1336,1,1301,Streptococcus equi,"",bacteria,false,167833.68915187506,7.0765831381409585,,,,,,,,,,,,,7.0765831381409585,892.8571428571429,9,1,9,75.714,70.0,10^-31.8327,327.869,733.137,0.000813008,0.00181794,,1
