tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
95341,2,95341,Sapovirus,"",viruses,false,6412948381.452318,100,100,320647.4190726159,1466,1,1462,97.826,7290.27,10^-306.943,,,,,100,320647.4190726159,1466,1,1462,99.5946,2243.33,10^-306.782,,,,,[95342],1
95342,1,95341,Sapporo virus,"",viruses,false,6412948381.452318,100,100,320647.4190726159,1466,1,1462,97.826,7290.27,10^-306.943,,,,,100,320647.4190726159,1466,1,1462,99.5946,2243.33,10^-306.782,,,,,,1
561,2,561,Escherichia,"",bacteria,false,788104944.0449233,99,61.96711923943427,52274.71566054243,239,6,216,99.3496,631.95,10^-273.073,962.773,1361.57,0.00252951,0.00357727,99,59930.00874890639,274,5,249,98.5857,88.0641,10^-53.3574,320.924,453.855,0.00084317,0.00119242,[562],1
562,1,561,Escherichia coli,"",bacteria,false,788104944.0449233,99,61.96711923943427,52274.71566054243,239,6,216,99.3496,631.95,10^-273.073,962.773,1361.57,0.00252951,0.00357727,99,59930.00874890639,274,5,249,98.5857,88.0641,10^-53.3574,320.924,453.855,0.00084317,0.00119242,,1
10912,2,10912,Rotavirus,"",viruses,false,785214348.2064742,100,100,39370.07874015748,180,15,128,99.2294,331.938,10^-182.063,,,,,100,39370.07874015748,180,15,128,98.6244,102.963,10^-65.5999,,,,,"[28875, 1906931]",1
28875,1,10912,Rotavirus A,"",viruses,false,785214348.2064742,100,100,39370.07874015748,180,15,128,99.2294,331.938,10^-182.063,,,,,100,39151.35608048994,179,15,128,98.6157,103.308,10^-65.8727,,,,,,1
1906931,1,10912,Human rotavirus,"",viruses,false,2187226.5966754155,100,,,,,,,,,,,,,100,218.72265966754156,1,,,100.0,48.0,10^-22.2233,,,,,,0
239934,2,239934,Akkermansia,"",bacteria,false,205599300.08748907,100,100,20122.484689413825,92,4,64,96.5929,576.909,10^-208.436,,,,,100,874.8906386701663,4,,,99.475,47.75,10^-24.4236,,,,,"[239935, 1263034]",0
239935,1,239934,Akkermansia muciniphila,"",bacteria,false,205599300.08748907,100,100,20122.484689413825,92,4,64,96.5929,576.909,10^-208.436,,,,,100,437.4453193350831,2,,,98.95,47.5,10^-19.2964,,,,,,0
1263034,1,239934,Akkermansia muciniphila CAG:154,"",bacteria,false,4374453.193350831,100,,,,,,,,,,,,,100,437.4453193350831,2,,,100.0,48.0,10^-29.5508,,,,,,0
1678,2,1678,Bifidobacterium,"",bacteria,false,124671916.01049867,100,100,10061.242344706912,46,2,14,99.7671,161.9,10^-87.8533,,,,,100,12248.468941382327,56,2,30,83.9508,60.0,10^-25.8933,,,,,"[216816, 28026, 1680, 1681, 1685]",0
216816,1,1678,Bifidobacterium longum,"",bacteria,false,124671916.01049867,100,100,5905.511811023622,27,2,14,99.8213,177.652,10^-96.216,,,,,100,6561.679790026246,30,1,24,78.4293,73.25,10^-30.5848,,,,,,0
28026,1,1678,Bifidobacterium pseudocatenulatum,"",bacteria,false,43744531.933508314,100,100,2405.949256342957,11,,,99.6514,160.364,10^-86.5355,,,,,100,1968.5039370078741,9,,,98.0251,50.4286,10^-27.5324,,,,,,0
1680,1,1678,Bifidobacterium adolescentis,"",bacteria,false,32808398.95013123,100,,,,,,,,,,,,,100,3280.839895013123,15,1,6,85.52,44.9231,10^-18.7888,,,,,,0
1681,1,1678,Bifidobacterium bifidum,"",bacteria,false,17497812.773403324,100,100,1312.3359580052493,6,,,99.6575,118.0,10^-67.304,,,,,100,437.4453193350831,2,,,90.75,32.5,10^-10.039,,,,,,0
1685,1,1678,Bifidobacterium breve,"",bacteria,false,4374453.193350831,100,100,437.4453193350831,2,,,100.0,77.0,10^-40.0294,,,,,,,,,,,,,,,,,,0
29465,2,29465,Veillonella,"",bacteria,false,87489063.86701663,100,100,11154.855643044619,51,1,26,96.7321,412.5,10^-63.6602,,,,,100,16841.6447944007,77,2,63,94.3809,79.3443,10^-37.9968,,,,,"[39777, 39778, 2292078, 29466, 1403932, 1110546, 457416]",0
39777,1,29465,Veillonella atypica,"",bacteria,false,87489063.86701663,100,100,8311.46106736658,38,1,26,96.0896,529.31,10^-57.3371,,,,,100,437.4453193350831,2,,,89.7,39.0,10^-16.699,,,,,,0
39778,1,29465,Veillonella dispar,"",bacteria,false,80927384.07699038,100,,,,,,,,,,,,,100,8092.738407699037,37,1,37,97.183,71.0,10^-32.5482,,,,,,0
2292078,1,29465,Veillonella sp. AF42-16,"",bacteria,false,61242344.70691164,100,,,,,,,,,,,,,100,6124.234470691164,28,1,26,91.6721,114.5,10^-59.3934,,,,,,0
29466,1,29465,Veillonella parvula,"",bacteria,false,28433945.756780405,100,100,2843.3945756780404,13,,,98.1654,151.923,10^-77.7655,,,,,,,,,,,,,,,,,,0
1403932,1,29465,Veillonella sp. DORA_A_3_16_22,"",bacteria,false,17497812.773403324,100,,,,,,,,,,,,,100,1749.7812773403325,8,,,95.0143,36.8571,10^-13.2414,,,,,,0
1110546,1,29465,Veillonella tobetsuensis,"",bacteria,false,2187226.5966754155,100,,,,,,,,,,,,,100,218.72265966754156,1,,,63.8,47.0,10^-8.05453,,,,,,0
457416,1,29465,Veillonella sp. 3_1_44,"",bacteria,false,2187226.5966754155,100,,,,,,,,,,,,,100,218.72265966754156,1,,,100.0,37.0,10^-19.3487,,,,,,0
586,2,586,Providencia,"",bacteria,false,61242344.70691164,100,,,,,,,,,,,,,100,6124.234470691164,28,1,28,84.416,154.0,10^-72.098,,,,,[588],0
588,1,586,Providencia stuartii,"",bacteria,false,61242344.70691164,100,,,,,,,,,,,,,100,6124.234470691164,28,1,28,84.416,154.0,10^-72.098,,,,,,0
102106,2,102106,Collinsella,"",bacteria,false,45931758.53018373,100,100,1749.7812773403325,8,,,99.7388,166.333,10^-91.0627,,,,,100,2843.3945756780404,13,1,9,62.4174,86.3077,10^-19.7719,,,,,[74426],0
74426,1,102106,Collinsella aerofaciens,"",bacteria,false,45931758.53018373,100,100,1749.7812773403325,8,,,99.7388,166.333,10^-91.0627,,,,,100,2843.3945756780404,13,1,9,62.4174,86.3077,10^-19.7719,,,,,,0
-200186803,2,-200186803,non-genus-specific reads in family Lachnospiraceae,,bacteria,false,45931758.530183725,100,100,5030.621172353456,23,,,97.8706,259.217,10^-124.076,,,,,100,1093.6132983377079,5,,,91.3512,32.6,10^-13.1895,,,,,"[1898203, 39491, 2109690, 658656]",0
1898203,1,-200186803,Lachnospiraceae bacterium,"",bacteria,false,45931758.530183725,100,100,4593.175853018372,21,2,15,97.8704,279.429,10^-134.151,,,,,,,,,,,,,,,,,,0
39491,1,-200186803,[Eubacterium] rectale,"",bacteria,false,6561679.790026247,100,,,,,,,,,,,,,100,656.1679790026246,3,,,100.0,29.6667,10^-10.9357,,,,,,0
2109690,1,-200186803,Lachnospiraceae bacterium Choco86,"",bacteria,false,4374453.193350831,100,100,437.4453193350831,2,,,97.872,47.0,10^-18.2859,,,,,,,,,,,,,,,,,,0
658656,1,-200186803,Lachnospiraceae bacterium 6_1_37FAA,"",bacteria,false,4374453.193350831,100,,,,,,,,,,,,,100,437.4453193350831,2,,,78.378,37.0,10^-16.5702,,,,,,0
-200585893,2,-200585893,non-genus-specific reads in family Picobirnaviridae,,viruses,false,30621172.35345582,100,100,1312.3359580052493,6,,,94.0568,273.5,10^-118.363,,,,,100,1749.7812773403325,8,,,96.5813,79.625,10^-49.2245,,,,,[2169481],0
2169481,1,-200585893,Lysoka partiti-like virus,"",viruses,false,30621172.35345582,100,100,1312.3359580052493,6,1,5,94.0568,273.5,10^-118.363,,,,,100,1749.7812773403325,8,1,5,96.5813,79.625,10^-49.2245,,,,,,0
1912216,2,1912216,Cutibacterium,"",bacteria,false,19713359.60499693,100,4.013122690013859,2624.6719160104985,12,,,100.0,109.6,10^-62.2575,641.849,907.711,0.00168634,0.00238485,100,1968.5039370078741,9,,,96.6,38.0,10^-14.2779,,,,,"[1747, 33011]",0
1747,1,1912216,Cutibacterium acnes,"",bacteria,false,19713359.60499693,100,3.2264180302323524,2187.2265966754157,10,,,100.0,117.25,10^-67.4741,641.849,907.711,0.00168634,0.00238485,100,1968.5039370078741,9,,,96.6,38.0,10^-14.2779,,,,,,0
33011,1,1912216,Cutibacterium granulosum,"",bacteria,false,175552.173666398,100,100,437.4453193350831,2,,,100.0,79.0,10^-41.3912,,,,,,,,,,,,,,,,,,0
638847,2,638847,Pyramidobacter,"",bacteria,false,17497812.773403324,100,100,1749.7812773403325,8,,,98.2876,146.0,10^-83.6674,,,,,,,,,,,,,,,,,[638849],0
638849,1,638847,Pyramidobacter piscolens,"",bacteria,false,17497812.773403324,100,100,1749.7812773403325,8,,,98.2876,146.0,10^-83.6674,,,,,,,,,,,,,,,,,,0
3749,2,3749,Malus,"",eukaryota,false,17497812.773403324,100,100,1312.3359580052493,6,1,4,99.6967,189.333,10^-97.9095,,,,,100,1749.7812773403325,8,1,4,99.296,58.0,10^-36.3687,,,,,"[3750, 2654653, 3752]",0
3750,1,3749,Malus domestica,apple,eukaryota,false,17497812.773403324,100,,,,,,,,,,,,,100,1749.7812773403325,8,1,4,99.296,58.0,10^-36.3687,,,,,,0
2654653,1,3749,Malus x atrosanguinea,"",eukaryota,false,8748906.386701662,100,100,874.8906386701663,4,1,4,99.545,220.0,10^-109.462,,,,,,,,,,,,,,,,,,0
3752,1,3749,Malus sylvestris,"",eukaryota,false,4374453.193350831,100,100,437.4453193350831,2,,,100.0,128.0,10^-74.8042,,,,,,,,,,,,,,,,,,0
662,2,662,Vibrio,"",bacteria,false,14832889.357035652,33.9079850701835,,,,,,,,,,,,,33.9079850701835,4811.898512685914,22,1,10,88.665,42.9444,10^-21.5668,160.462,226.928,0.000421585,0.000596211,"[670, 666]",2
670,1,662,Vibrio parahaemolyticus,"",bacteria,false,14832889.357035652,100,,,,,,,,,,,,,100,4374.4531933508315,20,1,10,89.7481,43.3125,10^-22.3799,,,,,,1
666,1,662,Vibrio cholerae,"",bacteria,false,1483288.9357035651,100,,,,,,,,,,,,,100,437.4453193350831,2,,,80.0,40.0,10^-15.0625,,,,,,1
2316020,2,2316020,Mediterraneibacter,"",bacteria,false,13123687.877953796,100,100,1531.058617672791,7,,,98.2936,118.2,10^-65.3713,,,,,0.8663076834336266,437.4453193350831,2,,,86.4,47.5,10^-19.2201,320.924,453.855,0.00084317,0.00119242,"[33039, 33038]",0
33039,1,2316020,[Ruminococcus] torques,"",bacteria,false,13123687.877953796,100,100,1312.3359580052493,6,,,98.232,113.5,10^-62.1627,,,,,0.8663076834336266,437.4453193350831,2,,,86.4,47.5,10^-19.2201,320.924,453.855,0.00084317,0.00119242,,0
33038,1,2316020,[Ruminococcus] gnavus,"",bacteria,false,2187226.5966754155,100,100,218.72265966754156,1,,,98.54,137.0,10^-78.2056,,,,,,,,,,,,,,,,,,0
572511,2,572511,Blautia,"",bacteria,false,13123359.580052493,100,100,437.4453193350831,2,,,89.726,146.0,10^-66.5128,,,,,100,1312.3359580052493,6,1,6,84.783,92.0,10^-57.8268,,,,,"[40520, 33035, 1532]",0
40520,1,572511,Blautia obeum,"",bacteria,false,13123359.580052493,100,,,,,,,,,,,,,100,1312.3359580052493,6,1,6,84.783,92.0,10^-57.8268,,,,,,0
33035,1,572511,Blautia producta,"",bacteria,false,2187226.5966754155,100,100,218.72265966754156,1,,,89.726,146.0,10^-66.5128,,,,,,,,,,,,,,,,,,0
1532,1,572511,Blautia coccoides,"",bacteria,false,2187226.5966754155,100,100,218.72265966754156,1,,,89.726,146.0,10^-66.5128,,,,,,,,,,,,,,,,,,0
4071,2,4071,Capsicum,peppers,eukaryota,false,13123359.580052493,100,,,,,,,,,,,,,100,1312.3359580052493,6,,,94.35,35.5,10^-16.3845,,,,,[33114],0
33114,1,4071,Capsicum baccatum,"",eukaryota,false,13123359.580052493,100,,,,,,,,,,,,,100,1312.3359580052493,6,,,94.35,35.5,10^-16.3845,,,,,,0
570,2,570,Klebsiella,"",bacteria,false,13123359.580052493,100,100,437.4453193350831,2,,,100.0,85.0,10^-45.4763,,,,,100,874.8906386701663,4,,,93.4,32.5,10^-11.9808,,,,,[573],1
573,1,570,Klebsiella pneumoniae,"",bacteria,false,13123359.580052493,100,100,437.4453193350831,2,,,100.0,85.0,10^-45.4763,,,,,100,874.8906386701663,4,,,93.4,32.5,10^-11.9808,,,,,,1
1301,2,1301,Streptococcus,"",bacteria,false,9012580.619887609,15.845660102896105,15.845660102896105,9405.074365704288,43,1,24,95.5422,283.229,10^-124.452,1564.75,1417.95,0.00818037,0.00202941,0.1298148090778663,5468.066491688539,25,,,93.1714,37.5714,10^-15.2614,7541.72,10665.6,0.0198145,0.0280219,"[1304, 1308, 1313, 1314, 1346, 28037, 1338, 1303]",5
1304,1,1301,Streptococcus salivarius,"",bacteria,false,9012580.619887609,100,100,5686.789151356081,26,1,24,93.433,396.2,10^-165.563,,,,,8.73337262083352,1312.3359580052493,6,,,99.475,41.0,10^-18.9396,160.462,226.928,0.000421585,0.000596211,,0
1308,1,1301,Streptococcus thermophilus,"",bacteria,false,1039741.4765679857,100,100,656.1679790026246,3,,,93.8357,117.333,10^-55.1774,,,,,,,,,,,,,,,,,,0
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,693362.1777800882,100,100,437.4453193350831,2,,,99.0,100.0,10^-54.3258,,,,,1.1809852279523978,1312.3359580052493,6,,,86.5333,37.6667,10^-14.0743,802.311,1134.64,0.00210793,0.00298106,,1
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,96949.62813564138,3.4886647498474805,3.4886647498474805,1749.7812773403325,8,,,99.6575,111.667,10^-62.9796,481.386,680.783,0.00126476,0.00178863,0.8663051371549344,1968.5039370078741,9,,,95.6571,38.0,10^-16.465,1444.16,2042.35,0.00379427,0.0053659,,1
1346,1,1301,Streptococcus iniae,"",bacteria,false,5678.688061149007,100,,,,,,,,,,,,,100,437.4453193350831,2,,,97.05,33.5,10^-12.4098,,,,,,1
28037,1,1301,Streptococcus mitis,"",bacteria,false,1255.2225087798977,0.12072448171666471,0.12072448171666471,656.1679790026246,3,,,99.517,207.0,10^-102.265,140.528,198.737,0.00240385,0.00339955,,,,,,,,,,,,,,1
1338,1,1301,Streptococcus intermedius,"",bacteria,false,-22.284557100711854,-0.39242439205584523,,,,,,,,,,,,,-0.39242439205584523,437.4453193350831,2,,,87.9,33.0,10^-10.1057,1604.62,2269.28,0.00421585,0.00596211,,0
1303,1,1301,Streptococcus oralis,"",bacteria,false,-1494.3304355392252,-0.43116403525761865,-0.43116403525761865,218.72265966754156,1,,,99.315,146.0,10^-85.726,140.528,198.737,0.00240385,0.00339955,,,,,,,,,,,,,,1
