tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
561,2,561,Escherichia,"",bacteria,false,4010570661.1375523,99,99,281093.7707502431,131232,14,111812,99.8479,933.871,10^-254.552,1488.88,673.478,0.00347549,0.000577007,99,128151.35950237972,59829,13,45555,99.5194,86.6367,10^-56.8976,2039.11,1451.62,0.00433439,0.000637655,"[562, 564, 208962, 2044459, 416000, 237777]",1
562,1,561,Escherichia coli,"",bacteria,false,4010570661.1375523,99,99,281050.93153865595,131212,14,111812,99.8482,933.994,10^-254.58,1488.88,673.478,0.00347549,0.000577007,99,128149.21754180036,59828,13,45555,99.5195,86.6377,10^-56.8984,2039.11,1451.62,0.00433439,0.000637655,,1
564,1,561,Escherichia fergusonii,"",bacteria,false,275670.32656330994,100,100,27.845487531647468,13,,,98.2658,144.6,10^-82.711,,,,,,,,,,,,,,,,,,0
208962,1,561,Escherichia albertii,"",bacteria,false,106027.04867819612,100,100,10.709802896787487,5,,,97.951,137.0,10^-77.6596,,,,,,,,,,,,,,,,,,0
2044459,1,561,Escherichia sp. E2661,"",bacteria,false,21205.409735639227,100,,,,,,,,,,,,,100,2.1419605793574976,1,,,94.4,36.0,10^-16.6253,,,,,,0
416000,1,561,Escherichia sp. dayi,"",bacteria,false,21205.409735639227,100,100,2.1419605793574976,1,,,97.872,94.0,10^-48.8632,,,,,,,,,,,,,,,,,,0
237777,1,561,uncultured Escherichia sp.,"",bacteria,false,21205.409735639227,100,100,2.1419605793574976,1,,,100.0,105.0,10^-59.1079,,,,,,,,,,,,,,,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,1189050940.1064982,99,99,148868.40222592544,69501,391,64375,99.8327,1564.44,10^-203.839,157.208,222.326,0.000245399,0.000347046,99,162298.49505849695,75771,388,70507,89.7306,142.216,10^-81.5885,4261.97,5311.28,0.00722854,0.00747666,"[1839799, 1338, 1307, 1308, 1304, 1313, 102684, 1336, 113107, 1314, 1343, 150055, 1335, 28037, 1311, 1303, 1739483, 315405, 83427, 1318, 1349, 1334, 1310, 1348, 1346, 2710601, 1917441, 1305, 712633, 68892, 1302, 1263109, 59310, 1306, 1739371, 712623, 435842, 197614, 1309, 1328, 1768767, 1759399, 1715180, 1579339, 1433513, 1316411, 712645, 102886, 2610896, 1888195, 1739341, 1739309, 1316412, 1316410, 1316408, 1263110, 1169673, 1156431, 489551, 257758, 254786, 82348, 45634, 29389]",15
1839799,1,1301,Streptococcus sp. FDAARGOS_192,"",bacteria,false,1189050940.1064982,100,100,120086.87792109874,56064,3,56040,99.9098,1877.48,10^-219.653,,,,,100,19.27764521421748,9,1,8,99.5222,104.778,10^-59.2518,,,,,,0
1338,1,1301,Streptococcus intermedius,"",bacteria,false,848740375.1001366,99,,,,,,,,,,,,,99,86597.32426284427,40429,1,40341,93.3693,120.762,10^-72.9978,903.946,1278.37,0.00141104,0.00199552,,0
