tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
10912,2,10912,Rotavirus,"",viruses,false,14288480154.888672,100,100,715029.041626331,11818,11,11738,98.8784,2134.4,10^-261.315,,,,,100,713818.9738625363,11798,11,11738,98.1414,698.965,10^-298.256,,,,,[28875],1
28875,1,10912,Rotavirus A,"",viruses,false,14288480154.888672,100,100,715029.041626331,11818,11,11738,98.8784,2134.4,10^-261.315,,,,,100,713818.9738625363,11798,11,11738,98.1414,698.965,10^-298.256,,,,,,1
561,2,561,Escherichia,"",bacteria,false,10080893.030009681,99,99,544.5304937076477,9,,,99.6266,172.889,10^-93.3355,675.053,1012.72,0.00128402,0.0018074,99,484.027105517909,8,,,97.3025,45.25,10^-22.893,1239.85,1981.8,0.0021878,0.00300034,[562],1
562,1,561,Escherichia coli,"",bacteria,false,10080893.030009681,99,99,544.5304937076477,9,,,99.6266,172.889,10^-93.3355,675.053,1012.72,0.00128402,0.0018074,99,484.027105517909,8,,,97.3025,45.25,10^-22.893,1239.85,1981.8,0.0021878,0.00300034,,1
83654,2,83654,Leclercia,"",bacteria,false,1210067.7637947726,100,100,121.00677637947724,2,,,98.361,61.0,10^-27.7793,,,,,,,,,,,,,,,,,[2681309],0
2681309,1,83654,Leclercia sp. Colony189,"",bacteria,false,1210067.7637947726,100,100,121.00677637947724,2,,,98.361,61.0,10^-27.7793,,,,,,,,,,,,,,,,,,0
53246,2,53246,Pseudoalteromonas,"",bacteria,false,1210067.7637947726,100,,,,,,,,,,,,,100,121.00677637947724,2,,,86.667,60.0,10^-32.7212,,,,,[2066515],0
2066515,1,53246,Pseudoalteromonas sp. S558,"",bacteria,false,1210067.7637947726,100,,,,,,,,,,,,,100,121.00677637947724,2,,,86.667,60.0,10^-32.7212,,,,,,0
816,2,816,Bacteroides,"",bacteria,false,605033.8818973863,100,100,121.00677637947724,2,,,100.0,142.0,10^-84.3657,,,,,,,,,,,,,,,,,"[818, 817]",0
818,1,816,Bacteroides thetaiotaomicron,"",bacteria,false,605033.8818973863,100,100,60.50338818973862,1,,,100.0,142.0,10^-84.3657,,,,,,,,,,,,,,,,,,0
817,1,816,Bacteroides fragilis,"",bacteria,false,605033.8818973863,100,100,60.50338818973862,1,,,100.0,142.0,10^-84.3657,,,,,,,,,,,,,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,311145.9059935722,25.713097671308812,8.134382939592735,181.51016456921587,3,,,100.0,103.333,10^-57.9882,14427.6,17162.3,0.0317811,0.0421936,25.713097671308812,121.00677637947724,2,,,89.5,19.0,10^-5.50724,3014.55,3445.96,0.00694643,0.00945252,"[710740, 77133]",0
710740,1,-200,uncultured Chromatiales bacterium HF0200_41F04,"",bacteria,false,311145.9059935722,100,,,,,,,,,,,,,100,121.00677637947724,2,,,89.5,19.0,10^-5.50724,,,,,,0
77133,1,-200,uncultured bacterium,"",bacteria,false,37981.42577036961,25.724426376058915,25.724426376058915,181.51016456921587,3,,,100.0,103.333,10^-57.9882,5695.44,6049.99,0.0124245,0.0140946,-100,0.0,0,,,0,0,10^0,330.761,739.604,0.00114068,0.00255065,,0
1883,2,1883,Streptomyces,"",bacteria,false,303319.50444539567,25.0663238473675,-100,0.0,0,,,0,0,10^0,110.254,246.535,0.000380228,0.000850216,25.0663238473675,121.00677637947724,2,,,100.0,47.0,10^-28.5686,1941.52,2772.66,0.0054928,0.00975441,[28044],0
28044,1,1883,Streptomyces longisporoflavus,"",bacteria,false,303319.50444539567,100,,,,,,,,,,,,,100,121.00677637947724,2,,,100.0,47.0,10^-28.5686,,,,,,0
338,2,338,Xanthomonas,"",bacteria,false,3278.964762380601,5.217698316963805,-100,0.0,0,,,0,0,10^0,454.545,1016.39,0.00052356,0.00117072,5.217698316963805,121.00677637947724,2,,,100.0,38.0,10^-19.644,4741.71,8176.66,0.0220445,0.0436889,[346],0
346,1,338,Xanthomonas citri,"",bacteria,false,3278.964762380601,5.193355987680278,,,,,,,,,,,,,5.193355987680278,121.00677637947724,2,,,100.0,38.0,10^-19.644,4287.17,8408.12,0.0215209,0.0439945,,0
