Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0006633851215984928)	(4, 0.0006633851215984928)	(5, 0.0006633851215984928)	(6, 0.0006633851215984928)	(7, 0.0006633851215984928)	(8, 0.0006633851215984928)	(9, 0.0006633851215984928)	(10, 0.0013267702431969857)	(12, 0.001658462803996232)	(14, 0.0029852330471932175)	(16, 0.004975388411988696)	(18, 0.005970466094386435)	(20, 0.008624006580780406)	(22, 0.008624006580780406)	(24, 0.008624006580780406)	(26, 0.008624006580780406)	(28, 0.009287391702378899)	(30, 0.009950776823977391)	(32, 0.01094585450637513)	(34, 0.01194093218877287)	(36, 0.012272624749572116)	(38, 0.012604317310371363)	(40, 0.013599394992769102)	(42, 0.015257857796765334)	(44, 0.016252935479163073)	(46, 0.018906475965557043)	(48, 0.02122832389115177)	(50, 0.02321847925594725)	(52, 0.02852556022873519)	(54, 0.033169256079924644)	(56, 0.036486181687917105)	(58, 0.04477849570789826)	(60, 0.057714505579068875)	(62, 0.07330405593663344)	(64, 0.09187883934139125)	(66, 0.12106778469172493)	(68, 0.15888073662283902)	(70, 0.19569861087155538)	(72, 0.24279895450504835)	(74, 0.3031670005705112)	(76, 0.37414920858154993)	(78, 0.4441363389101909)	(80, 0.5439757997107642)	(82, 0.6524392670921177)	(84, 0.805017845059771)	(86, 0.9595865783922198)	(88, 1.1118334637990739)	(90, 1.3101856151570233)	(92, 1.5354048639397115)	(94, 1.7765453556407635)	(96, 2.0339387828209787)	(98, 2.3351156280266947)	(100, 2.658847567366759)	(102, 2.9822478141460245)	(104, 3.3872444308819043)	(106, 3.8131376789481366)	(108, 4.229080150190391)	(110, 4.672884796539783)	(112, 5.168101789813058)	(114, 5.715062822571015)	(116, 6.302490347746481)	(118, 6.913136352177894)	(120, 7.508524498812541)	(122, 8.139735442013507)	(124, 8.804779026415996)	(126, 9.539809741147126)	(128, 10.291093391357418)	(130, 11.030104416818139)	(132, 11.77375913813005)	(134, 12.462021201788486)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.01194093218877287)	(4, 0.031179100715129162)	(5, 0.04842711387668997)	(6, 0.059704660943864354)	(7, 0.0736357484974327)	(8, 0.07894282947022065)	(9, 0.08756683605100105)	(10, 0.09685422775337994)	(12, 0.1014979236045694)	(14, 0.10448315665176261)	(16, 0.10547823433416036)	(18, 0.1058099268949596)	(20, 0.10614161945575884)	(22, 0.10846346738135357)	(24, 0.10945854506375131)	(26, 0.1101219301853498)	(28, 0.1101219301853498)	(30, 0.1107853153069483)	(32, 0.11111700786774754)	(34, 0.11211208555014528)	(36, 0.11211208555014528)	(38, 0.11211208555014528)	(40, 0.11211208555014528)	(42, 0.11211208555014528)	(44, 0.11310716323254302)	(46, 0.11443393347574)	(48, 0.11675578140133473)	(50, 0.12007270700932719)	(52, 0.12239455493492192)	(54, 0.12836502102930836)	(56, 0.13400379456289552)	(58, 0.14528134163006992)	(60, 0.15191519284605484)	(62, 0.161534277109233)	(64, 0.17413859441960433)	(66, 0.18044075307479002)	(68, 0.19636199599315388)	(70, 0.2049860025739343)	(72, 0.21195154635071844)	(74, 0.22654601902588528)	(76, 0.7751655145878389)	(78, 0.7798092104390283)	(80, 0.7854479839726154)	(82, 0.788764909580608)	(84, 0.7920818351886003)	(86, 0.7973889161613883)	(88, 0.8050178450597709)	(90, 0.8123150813973544)	(92, 0.8149686218837484)	(94, 0.8206073954173356)	(96, 0.8265778615117221)	(98, 0.8288997094373167)	(100, 0.8345384829709039)	(102, 0.8388504862612942)	(104, 0.8438258746732828)	(106, 0.8468111077204761)	(108, 0.8517864961324648)	(110, 0.8554351143012564)	(112, 0.858752039909249)	(114, 0.8643908134428362)	(116, 0.8700295869764232)	(118, 0.8783219009964045)	(120, 0.8839606745299917)	(122, 0.8922529885499728)	(124, 0.8985551472051585)	(126, 0.9055206909819427)	(128, 0.9144763901235222)	(130, 0.9211102413395073)	(132, 0.9294025553594883)	(134, 0.9376948693794696)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0006633851215984928)	(4, 0.0006633851215984928)	(5, 0.0006633851215984928)	(6, 0.0006633851215984928)	(7, 0.0006633851215984928)	(8, 0.0006633851215984928)	(9, 0.0006633851215984928)	(10, 0.0013267702431969857)	(12, 0.001658462803996232)	(14, 0.0029852330471932175)	(16, 0.004975388411988696)	(18, 0.005970466094386435)	(20, 0.008624006580780406)	(22, 0.008624006580780406)	(24, 0.008624006580780406)	(26, 0.008624006580780406)	(28, 0.009287391702378899)	(30, 0.009950776823977391)	(32, 0.01094585450637513)	(34, 0.01194093218877287)	(36, 0.012272624749572116)	(38, 0.012604317310371363)	(40, 0.013599394992769102)	(42, 0.015257857796765334)	(44, 0.016252935479163073)	(46, 0.018906475965557043)	(48, 0.020564938769553277)	(50, 0.022886786695148)	(52, 0.029852330471932177)	(54, 0.034496026323121626)	(56, 0.037812951931114086)	(58, 0.04610526595109525)	(60, 0.059704660943864354)	(62, 0.07496251874062967)	(64, 0.09386899470618673)	(66, 0.12571148054291437)	(68, 0.16418781759562695)	(70, 0.20133738440514254)	(72, 0.24777434291703704)	(74, 0.30847408154329914)	(76, 0.37945628955433786)	(78, 0.4487800347613804)	(80, 0.5509413434875483)	(82, 0.6584097331865041)	(84, 0.8099932334717597)	(86, 0.9642302742434092)	(88, 1.1164771596502634)	(90, 1.314165925886614)	(92, 1.5390534821085033)	(94, 1.7788672035663584)	(96, 2.0365923233073726)	(98, 2.3387642461954865)	(100, 2.6605060301707555)	(102, 2.9892133579228086)	(104, 3.3905613564898966)	(106, 3.813469371508936)	(108, 4.227421687386395)	(110, 4.66989956349259)	(112, 5.159146090671478)	(114, 5.705112045747038)	(116, 6.291544493240106)	(118, 6.8985418795027265)	(120, 7.492934948454976)	(122, 8.124477584216741)	(124, 8.78520916532884)	(126, 9.516922954451978)	(128, 10.269201682344669)	(130, 11.00754932268379)	(132, 11.749877273752503)	(134, 12.394687611946239)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R2_001 - polyg	(1, 0.7529421130142893)	(2, 0.7662098154462592)	(3, 0.7662098154462592)	(4, 0.7662098154462592)	(5, 0.7662098154462592)	(6, 0.7668732005678577)	(7, 0.7675365856894562)	(8, 0.7675365856894562)	(9, 0.7701901261758501)	(10, 0.772843666662244)	(12, 0.7735070517838426)	(14, 0.7735070517838426)	(16, 0.7735070517838426)	(18, 0.7758288997094374)	(20, 0.7784824401958312)	(22, 0.7801409029998275)	(24, 0.780804288121426)	(26, 0.7811359806822252)	(28, 0.782131058364623)	(30, 0.7844529062902177)	(32, 0.788764909580608)	(34, 0.7894282947022064)	(36, 0.7907550649454034)	(38, 0.7947353756749944)	(40, 0.7967255310397898)	(42, 0.7973889161613883)	(44, 0.7983839938437861)	(46, 0.8003741492085815)	(48, 0.8013692268909793)	(50, 0.8020326120125778)	(52, 0.8040227673773732)	(54, 0.8046861524989718)	(56, 0.8046861524989718)	(58, 0.8096615409109604)	(60, 0.8109883111541574)	(62, 0.8119833888365552)	(64, 0.8119833888365552)	(66, 0.8123150813973544)	(68, 0.8133101590797521)	(70, 0.8136418516405515)	(72, 0.8139735442013507)	(74, 0.8146369293229492)	(76, 0.8149686218837484)	(78, 0.8162953921269454)	(80, 0.8176221623701424)	(82, 0.8186172400525401)	(84, 0.8202757028565364)	(86, 0.8209390879781349)	(88, 0.8219341656605326)	(90, 0.8242560135861273)	(92, 0.825251091268525)	(94, 0.8282363243157183)	(96, 0.8312215573629115)	(98, 0.8338750978493055)	(100, 0.8391821788220934)	(102, 0.8408406416260896)	(104, 0.8411723341868889)	(106, 0.8415040267476881)	(108, 0.8424991044300858)	(110, 0.8461477225988776)	(112, 0.8484695705244722)	(114, 0.84946464820687)	(116, 0.8504597258892678)	(118, 0.8537766514972602)	(120, 0.8567618845444535)	(122, 0.8590837324700482)	(124, 0.8667126613684308)	(126, 0.8779902084356053)	(128, 0.8849557522123894)	(130, 0.8935797587931698)	(132, 0.9104960793939314)	(134, 0.923432089265102)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R1_001 - illumina_universal_adapter	(1, 0.04986044495027504)	(2, 0.052570251741050865)	(3, 0.06774516976939544)	(4, 0.07262282199279191)	(5, 0.07695851285803322)	(6, 0.08562989458851585)	(7, 0.09484323767715362)	(8, 0.0980950058260846)	(9, 0.10243069669132591)	(10, 0.1143538465707395)	(12, 0.1262769964501531)	(14, 0.15093623824621305)	(16, 0.17667940275858332)	(18, 0.18345391973552286)	(20, 0.2140747364712896)	(22, 0.22112023412730672)	(24, 0.23087553857409965)	(26, 0.23412730672303067)	(28, 0.23981790098365985)	(30, 0.25201203154215107)	(32, 0.26935479500311627)	(34, 0.2861555971059263)	(36, 0.3002465924179606)	(38, 0.32490583421402053)	(40, 0.36717882015012326)	(42, 0.4368208546730618)	(44, 0.5286833048803621)	(46, 0.624610465273826)	(48, 0.7652494377150909)	(50, 0.9617104300463377)	(52, 1.19231498794136)	(54, 1.481180391838062)	(56, 1.7963309216052896)	(58, 2.1954854618865673)	(60, 2.626073760940845)	(62, 3.1076064276617075)	(64, 3.641709346123621)	(66, 4.212936617619164)	(68, 4.794190174240576)	(70, 5.419342600872557)	(72, 6.114137062027478)	(74, 6.809473484540552)	(76, 7.52025580576105)	(78, 8.249193832479744)	(80, 8.939381622090345)	(82, 9.726580494810719)	(84, 10.558491179578896)	(86, 11.34460612958296)	(88, 12.138579519280274)	(90, 12.966696474541365)	(92, 13.77638674362518)	(94, 14.635937457659269)	(96, 15.500094843237676)	(98, 16.320624339484596)	(100, 17.106468308809582)	(102, 17.93133349592174)	(104, 18.819337181258977)	(106, 19.74338129691353)	(108, 20.644663035525568)	(110, 21.497710213261794)	(112, 22.35563504322142)	(114, 23.2406579410888)	(116, 24.11321572771861)	(118, 25.03671788201501)	(120, 25.906023900495896)	(122, 26.768284421320757)	(124, 27.65059751239737)	(126, 28.554318077121103)	(128, 29.45532883505406)	(130, 30.312982684334607)	(132, 31.16223613256375)	(134, 32.01772213641168)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0005419613581551635)	(48, 0.0005419613581551635)	(50, 0.0005419613581551635)	(52, 0.0005419613581551635)	(54, 0.0005419613581551635)	(56, 0.001083922716310327)	(58, 0.001083922716310327)	(60, 0.0029807874698533996)	(62, 0.006503536297861962)	(64, 0.009484323767715363)	(66, 0.020865512288973796)	(68, 0.2834457903151505)	(70, 0.5343738991409912)	(72, 0.7834051432132889)	(74, 2.9886459095466495)	(76, 6.737121643226837)	(78, 6.761238923664743)	(80, 6.779123648483863)	(82, 6.803511909600845)	(84, 6.846055876216026)	(86, 6.877218654309948)	(88, 6.916781833455275)	(90, 7.008644283662575)	(92, 7.088583583990461)	(94, 7.115139690540064)	(96, 7.1419667777687454)	(98, 7.166897000243883)	(100, 7.193182126114408)	(102, 7.2308484405061915)	(104, 7.271766523046907)	(106, 7.320272064601793)	(108, 7.391810963878275)	(110, 7.461452998401214)	(112, 7.532449936319541)	(114, 7.614557082080047)	(116, 7.718342682166761)	(118, 7.853020079668319)	(120, 8.024821830203507)	(122, 8.225347532720917)	(124, 8.42912500338726)	(126, 8.68086605425033)	(128, 8.969189496788879)	(130, 9.299785925263528)	(132, 9.663171015906567)	(134, 10.06964203452294)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R2_001 - illumina_universal_adapter	(1, 0.05148632902474053)	(2, 0.054196135815516355)	(3, 0.06774516976939544)	(4, 0.07262282199279191)	(5, 0.07641655149987805)	(6, 0.08454597187220551)	(7, 0.09375931496084329)	(8, 0.09701108310977427)	(9, 0.10080481261686042)	(10, 0.11272796249627401)	(12, 0.12465111237568761)	(14, 0.14985231552990272)	(16, 0.17613744140042814)	(18, 0.18264097769829013)	(20, 0.21163591035959137)	(22, 0.21786846597837572)	(24, 0.22653984770885838)	(26, 0.22979161585778934)	(28, 0.23548221011841858)	(30, 0.24767634067690975)	(32, 0.265019104137875)	(34, 0.28181990624068504)	(36, 0.29645286291087447)	(38, 0.32165406606508956)	(40, 0.36284312928488194)	(42, 0.43194320244966533)	(44, 0.5254315367314311)	(46, 0.621358697124895)	(48, 0.7601008048126169)	(50, 0.9535810096740103)	(52, 1.1825596834945666)	(54, 1.468173319242338)	(56, 1.7816979649351001)	(58, 2.1792266211419125)	(60, 2.6092729588380346)	(62, 3.091889548275208)	(64, 3.6259924667371215)	(66, 4.196948757553587)	(68, 4.779557217570387)	(70, 5.399019049941739)	(72, 6.0905617429477275)	(74, 6.787253068856191)	(76, 7.497222448039455)	(78, 8.221282822534754)	(80, 8.907947863317345)	(82, 9.697043600791265)	(84, 10.533831937782836)	(86, 11.32346963661491)	(88, 12.11581714223776)	(90, 12.94366311681977)	(92, 13.749830637075576)	(94, 14.61236213857952)	(96, 15.478145408232393)	(98, 16.304636479419017)	(100, 17.088041622632307)	(102, 17.917513481288786)	(104, 18.805788147305098)	(106, 19.73335501178766)	(108, 20.634636750399697)	(110, 21.494187464433786)	(112, 22.349131506923555)	(114, 23.23442538547002)	(116, 24.11375768907677)	(118, 25.038885727447635)	(120, 25.904668997100508)	(122, 26.769639324716145)	(124, 27.651952415792753)	(126, 28.559737690702654)	(128, 29.462916294068233)	(130, 30.32138308538601)	(132, 31.171178494973308)	(134, 31.98032680269897)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R2_001 - polyg	(1, 6.602173265046202)	(2, 6.603799149120667)	(3, 6.604341110478823)	(4, 6.604341110478823)	(5, 6.604341110478823)	(6, 6.604341110478823)	(7, 6.604341110478823)	(8, 6.604341110478823)	(9, 6.604883071836978)	(10, 6.60569601387421)	(12, 6.606779936590521)	(14, 6.607050917269599)	(16, 6.607050917269599)	(18, 6.607050917269599)	(20, 6.607050917269599)	(22, 6.607863859306832)	(24, 6.608134839985909)	(26, 6.608134839985909)	(28, 6.608134839985909)	(30, 6.608134839985909)	(32, 6.608134839985909)	(34, 6.609218762702219)	(36, 6.609489743381297)	(38, 6.610573666097608)	(40, 6.611657588813918)	(42, 6.613825434246538)	(44, 6.619516028507167)	(46, 6.6295423136330385)	(48, 6.649594883884779)	(50, 6.672628241606374)	(52, 6.685635314202097)	(54, 6.710565536677235)	(56, 6.730889087608054)	(58, 6.747960870389941)	(60, 6.757174213478579)	(62, 6.768013440641683)	(64, 6.782646397311872)	(66, 6.797008373302983)	(68, 6.815435059480259)	(70, 6.8363005717692324)	(72, 6.862585697639759)	(74, 6.895645340487223)	(76, 6.94875755358643)	(78, 7.022193317616454)	(80, 7.115139690540064)	(82, 7.220280194022166)	(84, 7.33300815651844)	(86, 7.453323578028886)	(88, 7.626480231959461)	(90, 7.8037015960762)	(92, 8.008833970137928)	(94, 8.246484025688968)	(96, 8.499850960626507)	(98, 8.785464596374279)	(100, 9.09004687965748)	(102, 9.392190336828985)	(104, 9.723328726661789)	(106, 10.124380131696611)	(108, 10.516760155000949)	(110, 10.898842912500339)	(112, 11.302604124325935)	(114, 11.706094355472455)	(116, 12.127469311438094)	(118, 12.54938622876189)	(120, 12.972929030160149)	(122, 13.44226756632252)	(124, 13.917838658103678)	(126, 14.394764653280221)	(128, 14.93835189550985)	(130, 15.525838007750048)	(132, 16.125518250548737)	(134, 16.58428854022708)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R1_001 - illumina_universal_adapter	(1, 0.007569004087262207)	(2, 0.008410004541402453)	(3, 0.009671505222612821)	(4, 0.010512505676753065)	(5, 0.011353506130893311)	(6, 0.011774006357963433)	(7, 0.011774006357963433)	(8, 0.01261500681210368)	(9, 0.013876507493314046)	(10, 0.016820009082804906)	(12, 0.019973760785830824)	(14, 0.02270701226178662)	(16, 0.03616301952803054)	(18, 0.044573024069433)	(20, 0.05445477940558088)	(22, 0.06812103678535986)	(24, 0.07337728962373641)	(26, 0.08199754427867391)	(28, 0.08725379711705045)	(30, 0.0950330513178477)	(32, 0.1080685583570215)	(34, 0.12572956789396666)	(36, 0.1471750794745429)	(38, 0.16483608901148805)	(40, 0.2026811094477991)	(42, 0.26617664373538763)	(44, 0.3141136696213816)	(46, 0.35973794425848993)	(48, 0.4343767345634367)	(50, 0.5346660387196609)	(52, 0.6500933510504096)	(54, 0.7896994264376902)	(56, 0.9330900038686021)	(58, 1.0968748423124148)	(60, 1.3121709585723176)	(62, 1.5659428456091367)	(64, 1.8306477385497788)	(66, 2.0827376246783174)	(68, 2.3320942593309)	(70, 2.6241316670311)	(72, 3.003843372075421)	(74, 3.4251845995996835)	(76, 3.7975375506702775)	(78, 4.164423998788959)	(80, 4.560114712461944)	(82, 5.096462752089886)	(84, 5.705977831228029)	(86, 6.283324642995307)	(88, 6.80937042706003)	(90, 7.359594974181286)	(92, 8.019780330681378)	(94, 8.840386523808723)	(96, 9.616629942980168)	(98, 10.315080820143642)	(100, 11.06146872319311)	(102, 11.912350932669504)	(104, 12.84270768506215)	(106, 13.838662472877735)	(108, 14.6575866650968)	(110, 15.496274367988159)	(112, 16.431887373219183)	(114, 17.495122197365987)	(116, 18.585689536272348)	(118, 19.56146031318857)	(120, 20.47646880729316)	(122, 21.389164550148855)	(124, 22.431164112828622)	(126, 23.538761710931325)	(128, 24.5136914873934)	(130, 25.434586984676972)	(132, 26.365994987637293)	(134, 27.296561990143474)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0050460027248414715)	(4, 0.0050460027248414715)	(5, 0.0050460027248414715)	(6, 0.005466502951911594)	(7, 0.005466502951911594)	(8, 0.005466502951911594)	(9, 0.005887003178981717)	(10, 0.005887003178981717)	(12, 0.005887003178981717)	(14, 0.007148503860192085)	(16, 0.007148503860192085)	(18, 0.007148503860192085)	(20, 0.007148503860192085)	(22, 0.007148503860192085)	(24, 0.007148503860192085)	(26, 0.007148503860192085)	(28, 0.007148503860192085)	(30, 0.007148503860192085)	(32, 0.007148503860192085)	(34, 0.007148503860192085)	(36, 0.007148503860192085)	(38, 0.007569004087262207)	(40, 0.007569004087262207)	(42, 0.007569004087262207)	(44, 0.007569004087262207)	(46, 0.007779254200797268)	(48, 0.007989504314332329)	(50, 0.007989504314332329)	(52, 0.008620254654937515)	(54, 0.009461255109077759)	(56, 0.010302255563218003)	(58, 0.011563756244428371)	(60, 0.01282525692563874)	(62, 0.013876507493314046)	(64, 0.0195532605587607)	(66, 0.06160328326577297)	(68, 1.1752981346609928)	(70, 2.0551948598052245)	(72, 2.1399256555598543)	(74, 2.568415386944309)	(76, 13.16754411047382)	(78, 13.236085647486249)	(80, 13.26804366474358)	(82, 13.296427430070812)	(84, 13.318713942105529)	(86, 13.344995206297412)	(88, 13.383050476847258)	(90, 13.42762350091669)	(92, 13.475981027029755)	(94, 13.528333305299984)	(96, 13.587413587203336)	(98, 13.658478125578188)	(100, 13.73795266849444)	(102, 13.819529712546045)	(104, 13.90909626091198)	(106, 14.006021563251643)	(108, 14.119346374447042)	(110, 14.262947201991489)	(112, 14.429465291911256)	(114, 14.60859838864313)	(116, 14.781213731855415)	(118, 14.948152322002255)	(120, 15.148730930314702)	(122, 15.376642053386709)	(124, 15.614434931794865)	(126, 15.871781070761777)	(128, 16.127865709047484)	(130, 16.403924108119018)	(132, 16.745370292499956)	(134, 17.064950465073252)
