Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R1_001	(1, 34.42507065051545)	(2, 34.08068089848881)	(3, 35.97928911650369)	(4, 36.24209576627615)	(5, 36.435286781388065)	(6, 36.39787186052991)	(7, 36.241631396691034)	(8, 36.28078438656778)	(9, 36.38829257937403)	(10, 36.133021984582925)	(15, 36.1676453808494)	(20, 36.11135051943055)	(25, 35.98646694351939)	(30, 35.82555624842446)	(35, 35.79742341218771)	(40, 35.46100224224171)	(45, 35.23274203606161)	(50, 35.42688036512717)	(55, 35.538416632391765)	(60, 35.302142733942766)	(65, 35.102309906993405)	(70, 35.15124650064348)	(75, 35.47517214843906)	(80, 35.62361385678842)	(85, 35.613915166310655)	(90, 35.47257698584336)	(95, 35.575521089013016)	(100, 35.58391689111197)	(105, 35.558164280691514)	(110, 35.553706332674366)	(115, 35.49569197702034)	(120, 35.463974207586475)	(125, 35.39618155524008)	(130, 35.32847646972973)	(135, 35.242536253996896)	(140, 35.10606466678165)	(145, 30.706505154502395)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R2_001	(1, 35.71630998659962)	(2, 36.230871290018705)	(3, 36.2977670456807)	(4, 36.218757877698316)	(5, 36.31920765281076)	(6, 36.313502540765015)	(7, 35.950604343845775)	(8, 36.06533016677502)	(9, 36.13839540406788)	(10, 36.04960263231216)	(15, 35.91765267808574)	(20, 35.904371707951334)	(25, 35.85116822119913)	(30, 35.93680062623556)	(35, 35.83830651046158)	(40, 35.75966087752584)	(45, 35.58763715487389)	(50, 35.39019251436229)	(55, 35.78682782502554)	(60, 35.854004855979085)	(65, 35.84326597763065)	(70, 35.573979381990426)	(75, 35.412150561887195)	(80, 35.65800639503257)	(85, 35.794812328349096)	(90, 35.714725822929246)	(95, 35.666725929070864)	(100, 35.6319247455918)	(105, 35.537514428626395)	(110, 35.423595282005024)	(115, 35.28179007841213)	(120, 35.11488503535843)	(125, 34.87804327924533)	(130, 34.60819678656247)	(135, 34.3303551763941)	(140, 34.026957317801276)	(145, 27.50231521407438)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R1_001	(1, 32.300046066715446)	(2, 35.62158632089532)	(3, 36.34163618134027)	(4, 36.62886486193534)	(5, 36.683613798336175)	(6, 36.713432512261875)	(7, 36.69753136601361)	(8, 36.703352031000186)	(9, 36.687786900793974)	(10, 36.75287645990841)	(15, 36.777527030322744)	(20, 36.758083624637564)	(25, 36.715715253502424)	(30, 36.63512126385389)	(35, 36.34058044061458)	(40, 35.93126304094518)	(45, 36.02353087824838)	(50, 35.96503373709455)	(55, 36.199330135761315)	(60, 35.586926808118584)	(65, 35.8550459312251)	(70, 35.544417527030326)	(75, 36.34151694984148)	(80, 36.48100913204888)	(85, 36.43308023737908)	(90, 36.37094761943474)	(95, 36.267083976912446)	(100, 36.09427201040565)	(105, 35.85721377665773)	(110, 35.597809392190335)	(115, 35.29007289380267)	(120, 34.95721323469636)	(125, 34.641561932634204)	(130, 34.369579708966754)	(135, 34.07479175134813)	(140, 33.82322846381054)	(145, 30.83779096550416)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R2_001	(1, 35.86547977129231)	(2, 36.05190363927052)	(3, 36.46347993388071)	(4, 36.474026501910416)	(5, 36.466449882123406)	(6, 36.571037585020186)	(7, 36.49643118445655)	(8, 36.056737934585264)	(9, 35.87967915887597)	(10, 36.26142156464244)	(15, 36.27247107281251)	(20, 36.19892258081999)	(25, 36.19356366691055)	(30, 36.22530525973498)	(35, 36.1897590981763)	(40, 35.96996558545375)	(45, 35.86951846733328)	(50, 35.91404601251931)	(55, 35.901678454326216)	(60, 35.89512939327426)	(65, 35.72301330515135)	(70, 35.41992033168035)	(75, 35.20174836734141)	(80, 35.38805083597539)	(85, 35.36914072026664)	(90, 35.16682654526732)	(95, 34.96212340460125)	(100, 34.69951277673902)	(105, 34.33309053464488)	(110, 34.019052109584585)	(115, 33.61017695038343)	(120, 33.20894344633228)	(125, 32.82939490014362)	(130, 32.49312738801724)	(135, 32.15375768907676)	(140, 31.8603289705444)	(145, 27.796455572717665)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R1_001	(1, 29.25304021664172)	(2, 33.489672514423155)	(3, 34.993557936521285)	(4, 35.67404504398432)	(5, 36.12599868803929)	(6, 36.21890400820816)	(7, 36.172506013153246)	(8, 36.363581316333914)	(9, 36.39729702454039)	(10, 36.48368122718786)	(15, 36.52509881755336)	(20, 36.45915933594604)	(25, 36.40583317914992)	(30, 36.2285200074008)	(35, 35.81698484517182)	(40, 35.57952332094259)	(45, 35.257805325214875)	(50, 35.03921753317747)	(55, 35.308221620439674)	(60, 34.02763191092123)	(65, 34.44831547609035)	(70, 33.757822145223955)	(75, 35.24073301599583)	(80, 35.680596437522084)	(85, 35.61599751063865)	(90, 35.52344541066053)	(95, 35.37148335660102)	(100, 35.214803289993775)	(105, 35.02538812170958)	(110, 34.79253191596723)	(115, 34.56253847577078)	(120, 34.29304324424335)	(125, 33.94886212638555)	(130, 33.59123677526786)	(135, 33.211429196171764)	(140, 32.750606361327435)	(145, 28.382793971708743)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001	(1, 35.878542714413065)	(2, 35.0360957394917)	(3, 35.52252199216188)	(4, 36.03104973676686)	(5, 35.500386860208906)	(6, 35.96890821321043)	(7, 35.94493970026744)	(8, 35.66880561115503)	(9, 35.58325063495534)	(10, 35.595224799421395)	(15, 35.48841942374649)	(20, 35.24299026121474)	(25, 35.407410896001885)	(30, 34.82832825929726)	(35, 34.46860881704876)	(40, 34.064703210939726)	(45, 33.81372176340975)	(50, 34.25455065345735)	(55, 34.252698770457336)	(60, 34.061263519082296)	(65, 33.494676467125295)	(70, 33.32907002169781)	(75, 32.681955494255966)	(80, 33.16974921366457)	(85, 33.470618808134155)	(90, 33.401643314887394)	(95, 33.154061191193044)	(100, 32.91201285048693)	(105, 32.66373437841657)	(110, 32.19354952651675)	(115, 31.76441390678351)	(120, 31.246011134846015)	(125, 30.6058903671808)	(130, 30.034901518846823)	(135, 28.673035843439358)	(140, 27.397450086623046)	(145, 24.413048963046442)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R1_001	(1, 27.80088383042962)	(2, 32.90542921073569)	(3, 34.142773146301)	(4, 35.57917492049493)	(5, 36.06051718546206)	(6, 36.17155596620538)	(7, 36.07523524868814)	(8, 36.2091024268005)	(9, 36.29538088938354)	(10, 36.284687194491696)	(15, 36.35298012781476)	(20, 36.299008607313766)	(25, 36.211305003161534)	(30, 35.948185791049234)	(35, 35.712455989304445)	(40, 35.82227961986892)	(45, 35.38269204295957)	(50, 35.52486834706444)	(55, 35.68944653269216)	(60, 34.85759223871821)	(65, 35.03775458539533)	(70, 34.36887600941695)	(75, 35.078118663801455)	(80, 35.178027900856065)	(85, 34.92396071761058)	(90, 34.60824752851799)	(95, 34.17101652165594)	(100, 33.69988823791557)	(105, 33.15582667777288)	(110, 32.60106302308272)	(115, 32.064897139217294)	(120, 31.537155176637754)	(125, 31.026274122760963)	(130, 30.635664937737555)	(135, 30.348915627792593)	(140, 30.012299429056743)	(145, 27.141555196236954)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R2_001	(1, 35.57752765469949)	(2, 35.47490719547165)	(3, 35.77904939230825)	(4, 35.6129882008171)	(5, 35.85006381405029)	(6, 35.880489233274766)	(7, 35.66853325680314)	(8, 35.86331193754389)	(9, 35.81354397803023)	(10, 35.7548667837952)	(15, 35.81245108950533)	(20, 35.81238575885055)	(25, 35.63793797787624)	(30, 35.62166784495169)	(35, 35.44019888517904)	(40, 35.31900958727359)	(45, 35.12097277344962)	(50, 34.74360797873953)	(55, 34.572874712136795)	(60, 34.47135927426976)	(65, 34.29536222348217)	(70, 34.07897309543642)	(75, 33.706010653563204)	(80, 33.58544759664854)	(85, 33.39605496174657)	(90, 33.0453712064472)	(95, 32.60386104169729)	(100, 32.117142063842046)	(105, 31.623004323489404)	(110, 31.073265529446623)	(115, 30.503440358945284)	(120, 30.01605500841132)	(125, 29.378432484268142)	(130, 28.91511681354398)	(135, 27.522464178968665)	(140, 26.124804416352266)	(145, 24.016983637004216)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R1_001	(1, 28.665050721194582)	(2, 33.789642442990576)	(3, 35.38984712203323)	(4, 35.895896118740424)	(5, 36.10347256603059)	(6, 36.232014992075335)	(7, 36.02467113460637)	(8, 36.02653185317602)	(9, 36.189205174126705)	(10, 36.33003498815454)	(15, 36.402928638120144)	(20, 36.32990075060058)	(25, 36.26988858947565)	(30, 36.105985865184294)	(35, 35.91517715037597)	(40, 35.504521878395394)	(45, 35.42997750524158)	(50, 35.45626148412242)	(55, 35.691050940493554)	(60, 34.79453413920169)	(65, 35.09759070172349)	(70, 34.76138410879887)	(75, 35.378666861599086)	(80, 35.539080738572366)	(85, 35.47098375526234)	(90, 35.35320824431235)	(95, 35.18046577773052)	(100, 34.98825089131742)	(105, 34.769002422256854)	(110, 34.493811449400084)	(115, 34.18656428284252)	(120, 33.86942739708731)	(125, 33.45934761877864)	(130, 33.06649942350951)	(135, 32.62377466698122)	(140, 32.096393860957804)	(145, 28.215677218491557)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R2_001	(1, 35.62750740134038)	(2, 35.64002073372121)	(3, 35.52683588129945)	(4, 35.815107705700775)	(5, 35.9990397363096)	(6, 35.873069089145034)	(7, 35.25087802657505)	(8, 35.329167760392615)	(9, 35.832053535531415)	(10, 35.858745543412894)	(15, 35.907876488159516)	(20, 35.88493117002648)	(25, 35.68874896580597)	(30, 35.65599898989563)	(35, 35.46866848972784)	(40, 35.335656351861886)	(45, 35.14028356021916)	(50, 34.77592429533591)	(55, 34.65117374791915)	(60, 34.567798936067696)	(65, 34.40512428603232)	(70, 34.223201831478704)	(75, 33.84830824132191)	(80, 33.81278446565811)	(85, 33.7074943763104)	(90, 33.46655391598191)	(95, 33.0667173933991)	(100, 32.62033898305084)	(105, 32.12554733368997)	(110, 31.49206702574105)	(115, 30.828122767553054)	(120, 30.19287610604767)	(125, 29.405235264604148)	(130, 28.74256559863636)	(135, 27.300726677055685)	(140, 25.96227592462761)	(145, 24.401759043590655)
