Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R1_001	(15.0, 2.0)	(16.0, 13.0)	(17.0, 47.0)	(18.0, 148.0)	(19.0, 314.0)	(20.0, 528.0)	(21.0, 674.0)	(22.0, 771.0)	(23.0, 890.0)	(24.0, 862.0)	(25.0, 934.0)	(26.0, 957.0)	(27.0, 1029.0)	(28.0, 1197.0)	(29.0, 1501.0)	(30.0, 1952.0)	(31.0, 2344.0)	(32.0, 3090.0)	(33.0, 4179.0)	(34.0, 6128.0)	(35.0, 11036.0)	(36.0, 93599.0)	(37.0, 18547.0)				
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R2_001	(13.0, 3.0)	(14.0, 16.0)	(15.0, 23.0)	(16.0, 33.0)	(17.0, 34.0)	(18.0, 54.0)	(19.0, 103.0)	(20.0, 165.0)	(21.0, 250.0)	(22.0, 291.0)	(23.0, 395.0)	(24.0, 497.0)	(25.0, 611.0)	(26.0, 808.0)	(27.0, 1075.0)	(28.0, 1388.0)	(29.0, 1959.0)	(30.0, 2501.0)	(31.0, 3487.0)	(32.0, 4706.0)	(33.0, 6187.0)	(34.0, 8854.0)	(35.0, 15401.0)	(36.0, 98440.0)	(37.0, 3461.0)		
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 13.0)	(20.0, 23.0)	(21.0, 50.0)	(22.0, 80.0)	(23.0, 111.0)	(24.0, 157.0)	(25.0, 210.0)	(26.0, 329.0)	(27.0, 484.0)	(28.0, 676.0)	(29.0, 967.0)	(30.0, 1799.0)	(31.0, 5566.0)	(32.0, 11347.0)	(33.0, 8596.0)	(34.0, 8587.0)	(35.0, 15252.0)	(36.0, 102193.0)	(37.0, 28069.0)						
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R2_001	(11.0, 2.0)	(12.0, 15.0)	(13.0, 30.0)	(14.0, 38.0)	(15.0, 85.0)	(16.0, 94.0)	(17.0, 153.0)	(18.0, 167.0)	(19.0, 198.0)	(20.0, 221.0)	(21.0, 285.0)	(22.0, 411.0)	(23.0, 450.0)	(24.0, 654.0)	(25.0, 882.0)	(26.0, 1355.0)	(27.0, 1925.0)	(28.0, 2850.0)	(29.0, 3728.0)	(30.0, 4950.0)	(31.0, 6338.0)	(32.0, 8271.0)	(33.0, 9824.0)	(34.0, 12777.0)	(35.0, 24843.0)	(36.0, 97689.0)	(37.0, 6280.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 4.0)	(20.0, 11.0)	(21.0, 35.0)	(22.0, 55.0)	(23.0, 104.0)	(24.0, 172.0)	(25.0, 274.0)	(26.0, 431.0)	(27.0, 738.0)	(28.0, 1349.0)	(29.0, 2293.0)	(30.0, 4269.0)	(31.0, 7921.0)	(32.0, 13009.0)	(33.0, 21208.0)	(34.0, 39513.0)	(35.0, 63141.0)	(36.0, 82682.0)	(37.0, 596.0)					
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001	(11.0, 7.0)	(12.0, 70.0)	(13.0, 189.0)	(14.0, 188.0)	(15.0, 185.0)	(16.0, 164.0)	(17.0, 184.0)	(18.0, 254.0)	(19.0, 368.0)	(20.0, 517.0)	(21.0, 663.0)	(22.0, 757.0)	(23.0, 806.0)	(24.0, 1014.0)	(25.0, 1378.0)	(26.0, 1993.0)	(27.0, 3139.0)	(28.0, 5230.0)	(29.0, 8606.0)	(30.0, 13718.0)	(31.0, 21082.0)	(32.0, 30072.0)	(33.0, 40378.0)	(34.0, 47259.0)	(35.0, 41985.0)	(36.0, 17415.0)	(37.0, 191.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R1_001	(16.0, 2.0)	(17.0, 0.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 72.0)	(21.0, 141.0)	(22.0, 240.0)	(23.0, 435.0)	(24.0, 648.0)	(25.0, 1046.0)	(26.0, 1843.0)	(27.0, 3281.0)	(28.0, 6606.0)	(29.0, 14138.0)	(30.0, 26328.0)	(31.0, 33080.0)	(32.0, 33982.0)	(33.0, 43870.0)	(34.0, 59176.0)	(35.0, 87592.0)	(36.0, 115269.0)	(37.0, 812.0)					
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R2_001	(11.0, 14.0)	(12.0, 170.0)	(13.0, 405.0)	(14.0, 413.0)	(15.0, 369.0)	(16.0, 435.0)	(17.0, 469.0)	(18.0, 575.0)	(19.0, 648.0)	(20.0, 794.0)	(21.0, 958.0)	(22.0, 1258.0)	(23.0, 1562.0)	(24.0, 2022.0)	(25.0, 3055.0)	(26.0, 4785.0)	(27.0, 7426.0)	(28.0, 12007.0)	(29.0, 18704.0)	(30.0, 27685.0)	(31.0, 38198.0)	(32.0, 48460.0)	(33.0, 58231.0)	(34.0, 72570.0)	(35.0, 84489.0)	(36.0, 42592.0)	(37.0, 295.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 9.0)	(19.0, 18.0)	(20.0, 40.0)	(21.0, 78.0)	(22.0, 129.0)	(23.0, 210.0)	(24.0, 338.0)	(25.0, 451.0)	(26.0, 775.0)	(27.0, 1217.0)	(28.0, 2063.0)	(29.0, 3319.0)	(30.0, 5663.0)	(31.0, 11329.0)	(32.0, 20185.0)	(33.0, 27390.0)	(34.0, 43314.0)	(35.0, 71293.0)	(36.0, 112342.0)	(37.0, 792.0)				
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R2_001	(11.0, 8.0)	(12.0, 97.0)	(13.0, 231.0)	(14.0, 259.0)	(15.0, 255.0)	(16.0, 252.0)	(17.0, 286.0)	(18.0, 331.0)	(19.0, 375.0)	(20.0, 483.0)	(21.0, 680.0)	(22.0, 820.0)	(23.0, 978.0)	(24.0, 1238.0)	(25.0, 1898.0)	(26.0, 3039.0)	(27.0, 5072.0)	(28.0, 8520.0)	(29.0, 12991.0)	(30.0, 18133.0)	(31.0, 23995.0)	(32.0, 31673.0)	(33.0, 40922.0)	(34.0, 54508.0)	(35.0, 63628.0)	(36.0, 30110.0)	(37.0, 177.0)
