Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R1_001	(1.0, 14.8770747369678)	(2.0, 7.214976582505208)	(3.0, 6.064003396531822)	(4.0, 5.4317973756484585)	(5.0, 4.783006726725133)	(6.0, 4.155444401692958)	(7.0, 3.6453012431837175)	(8.0, 3.311618527019676)	(9.0, 3.038967242042695)	('>10', 39.8336230115031)	('>50', 5.461649706120391)	('>100', 1.7924665985591275)	('>500', 0.39007045149991376)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 14_S4_L001_R2_001	(1.0, 13.980178052566636)	(2.0, 5.922702365631344)	(3.0, 5.277892027437608)	(4.0, 4.959467169070332)	(5.0, 4.454631091533879)	(6.0, 3.884783272080774)	(7.0, 3.7242440726539385)	(8.0, 3.0940282071353704)	(9.0, 3.1225537673641055)	('>10', 41.87419564554006)	('>50', 6.762547929575035)	('>100', 2.3218479255947244)	('>500', 0.6209284738161892)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R1_001	(1.0, 9.820339809771564)	(2.0, 6.114408042706556)	(3.0, 5.0808877327046575)	(4.0, 4.4072297645177905)	(5.0, 3.8750237108094194)	(6.0, 3.4533777741647023)	(7.0, 3.281576023629515)	(8.0, 2.9309270249031245)	(9.0, 2.702219331761645)	('>10', 38.458119936048554)	('>50', 8.384684172018535)	('>100', 5.647237351976804)	('>500', 0.0)	('>1k', 2.312549115248083)	('>5k', 3.5314202097390455)	('>10k+', 0.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 32_S9_L001_R2_001	(1.0, 10.92539901904994)	(2.0, 5.961574939706799)	(3.0, 4.905292252662385)	(4.0, 4.294501802021515)	(5.0, 3.9481884941603664)	(6.0, 3.489147223802943)	(7.0, 3.1829390564452753)	(8.0, 3.0133051513427094)	(9.0, 2.4046825461344605)	('>10', 38.10313524645693)	('>50', 8.41557596943338)	('>100', 5.201203154215104)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 6.155055144568192)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R1_001	(1.0, 20.43589053538089)	(2.0, 6.835651691251914)	(3.0, 4.512387936689486)	(4.0, 3.6331219618858595)	(5.0, 2.890939061107093)	(6.0, 2.482633340622004)	(7.0, 2.101660134896473)	(8.0, 1.8300169882091737)	(9.0, 1.7825004625502499)	('>10', 25.156426084470084)	('>50', 7.8486367382638385)	('>100', 9.33342304004844)	('>500', 0.0)	('>1k', 0.9032344877466234)	('>5k', 3.506130893310683)	('>10k+', 6.747346643567187)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001	(1.0, 22.46186062940474)	(2.0, 6.442904479168418)	(3.0, 4.257564799084991)	(4.0, 3.192437723916371)	(5.0, 2.8068390156930687)	(6.0, 2.5255243637831564)	(7.0, 2.075168620591055)	(8.0, 1.7223689300792222)	(9.0, 1.6424738869358988)	('>10', 24.059340992044138)	('>50', 7.726271172186433)	('>100', 9.481018619750055)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 11.606226767362454)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R1_001	(1.0, 11.59455795645712)	(2.0, 3.893240377144537)	(3.0, 3.182069535149059)	(4.0, 2.7373544351348262)	(5.0, 2.5840607201771393)	(6.0, 2.448499611515928)	(7.0, 2.271873519852353)	(8.0, 2.172710918852327)	(9.0, 2.104113731337015)	('>10', 41.24907545457303)	('>50', 13.655506790888241)	('>100', 8.092834860437389)	('>500', 0.45218146056011704)	('>1k', 1.03689082080968)	('>5k', 0.0)	('>10k+', 2.525029807111242)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R2_001	(1.0, 12.254164245932584)	(2.0, 2.741087615407768)	(3.0, 2.325304662508837)	(4.0, 2.2707069010170584)	(5.0, 2.3029055808711845)	(6.0, 2.1475119520099675)	(7.0, 2.152645074885263)	(8.0, 2.036449838889939)	(9.0, 1.9928182944499278)	('>10', 41.52859732750957)	('>50', 14.932487768001511)	('>100', 8.39568911007982)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.9196316284365675)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R1_001	(1.0, 21.360052365936887)	(2.0, 7.598377187590335)	(3.0, 5.474499848816617)	(4.0, 4.4005994171963625)	(5.0, 3.762971035921837)	(6.0, 3.2795164789888323)	(7.0, 3.002734591755023)	(8.0, 2.607664166879874)	(9.0, 2.3504862788619048)	('>10', 33.763735259620084)	('>50', 5.810426004871096)	('>100', 3.117035875318565)	('>500', 0.0)	('>1k', 3.471901488242585)	('>5k', 0.0)	('>10k+', 0.0)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R2_001	(1.0, 21.209533524500017)	(2.0, 6.584950109483352)	(3.0, 4.9631345133390266)	(4.0, 4.2637036938586315)	(5.0, 3.6649510398426366)	(6.0, 3.151924348499297)	(7.0, 3.053904352420097)	(8.0, 2.551842609790702)	(9.0, 2.3594576005369503)	('>10', 34.76686193135942)	('>50', 6.0207536574749385)	('>100', 2.598028302858529)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 4.810954316036404)
